transaction_id,customer_id,transaction_date,channel,status,amount,cost,gross_profit
T0013062,C002880,2021-01-01,Mobile,Completed,489.46,316.63,172.82999999999998
T0040744,C002308,2021-01-01,Mobile,Completed,274.57,162.42,112.15
T0025573,C005035,2021-01-01,Web,Returned,129.99,61.89,68.10000000000001
T0010402,C003018,2021-01-01,Web,Completed,323.01,196.16,126.85
T0006458,C000048,2021-01-01,Partner,Returned,476.03,214.81,261.21999999999997
T0038539,C005421,2021-01-01,Mobile,Completed,317.44,117.13,200.31
T0043448,C001278,2021-01-01,Store,Completed,390.87,260.37,130.5
T0017183,C002065,2021-01-01,Web,Completed,468.89,227.99,240.89999999999998
T0020256,C009960,2021-01-01,Mobile,Completed,403.73,207.82,195.91000000000003
T0023925,C003899,2021-01-01,Web,Returned,370.06,138.92,231.14000000000001
T0024612,C005196,2021-01-01,Store,Completed,454.18,250.04,204.14000000000001
T0029475,C008914,2021-01-01,Mobile,Completed,339.62,212.58,127.03999999999999
T0035859,C007929,2021-01-01,Web,Completed,209.48,91.31,118.16999999999999
T0047267,C006983,2021-01-01,Mobile,Returned,282.69,168.05,114.63999999999999
T0012725,C005066,2021-01-02,Partner,Completed,118.05,77.6,40.45
T0006120,C008451,2021-01-02,Store,Completed,450.93,252.48,198.45000000000002
T0020159,C003501,2021-01-02,Store,Completed,191.56,91.54,100.02
T0011581,C009619,2021-01-02,Web,Returned,148.98,100.9,48.079999999999984
T0016170,C008393,2021-01-02,Mobile,Completed,190.12,69.59,120.53
T0012263,C000660,2021-01-02,Web,Completed,93.93,30.83,63.10000000000001
T0037239,C002195,2021-01-02,Partner,Completed,201.06,138.19,62.870000000000005
T0021909,C005678,2021-01-02,Mobile,Completed,254.41,85.07,169.34
T0007465,C000571,2021-01-03,Mobile,Completed,252.14,94.11,158.02999999999997
T0021621,C008788,2021-01-03,Web,Completed,216.05,129.49,86.56
T0029455,C003615,2021-01-03,Mobile,Completed,221.09,110.55,110.54
T0021583,C009665,2021-01-03,Web,Completed,472.5,223.54,248.96
T0007917,C007651,2021-01-03,Web,Completed,174.13,67.58,106.55
T0025861,C002314,2021-01-03,Web,Cancelled,409.4,257.69,151.70999999999998
T0048942,C003318,2021-01-03,Partner,Completed,269.24,168.46,100.78
T0022551,C006499,2021-01-03,Web,Completed,363.91,233.75,130.16000000000003
T0042982,C003741,2021-01-03,Mobile,Completed,116.04,36.97,79.07000000000001
T0008282,C007858,2021-01-03,Store,Completed,361.76,126.6,235.16
T0020592,C004169,2021-01-03,Store,Completed,403.6,148.13,255.47000000000003
T0012435,C005290,2021-01-03,Web,Completed,303.67,173.94,129.73000000000002
T0047386,C006748,2021-01-03,Mobile,Completed,49.2,20.85,28.35
T0002530,C001212,2021-01-04,Web,Completed,111.66,73.93,37.72999999999999
T0026605,C006696,2021-01-04,Web,Completed,296.04,107.81,188.23000000000002
T0016852,C003287,2021-01-04,Web,Completed,82.41,48.06,34.349999999999994
T0029587,C006811,2021-01-04,Store,Cancelled,114.96,49.8,65.16
T0021948,C005213,2021-01-04,Mobile,Completed,260.23,80.25,179.98000000000002
T0035021,C000695,2021-01-04,Store,Completed,105.15,65.53,39.620000000000005
T0025706,C000809,2021-01-04,Mobile,Completed,389.01,263.16,125.84999999999997
T0045111,C001054,2021-01-04,Mobile,Completed,25.74,17.93,7.809999999999999
T0012218,C000629,2021-01-04,Store,Completed,161.23,57.37,103.85999999999999
T0010255,C007728,2021-01-04,Mobile,Completed,224.59,74.81,149.78
T0025215,C001035,2021-01-04,Mobile,Completed,30.66,11.52,19.14
T0049781,C005388,2021-01-04,Store,Completed,127.43,66.13,61.30000000000001
T0039027,C000046,2021-01-04,Mobile,Cancelled,336.88,160.59,176.29
T0025104,C002767,2021-01-04,Store,Completed,241.65,80.19,161.46
T0023228,C009112,2021-01-04,Web,Returned,180.07,60.37,119.69999999999999
T0040007,C003354,2021-01-04,Mobile,Completed,432.34,214.8,217.53999999999996
T0049289,C002328,2021-01-04,Web,Completed,273.99,179.22,94.77000000000001
T0042877,C005750,2021-01-04,Web,Completed,185.98,115.19,70.78999999999999
T0049387,C002213,2021-01-04,Partner,Returned,118.15,56.47,61.68000000000001
T0027580,C004036,2021-01-04,Web,Completed,351.23,168.79,182.44000000000003
T0012244,C004258,2021-01-04,Mobile,Completed,85.57,41.89,43.67999999999999
T0039825,C005015,2021-01-04,Store,Completed,399.58,181.2,218.38
T0043686,C003031,2021-01-04,Partner,Completed,380.07,226.29,153.78
T0014408,C000889,2021-01-04,Mobile,Completed,382.61,217.28,165.33
T0000686,C005683,2021-01-05,Store,Completed,118.04,64.71,53.33000000000001
T0008290,C009620,2021-01-05,Web,Completed,459.65,207.11,252.53999999999996
T0020641,C008836,2021-01-05,Mobile,Completed,133.33,53.89,79.44000000000001
T0030963,C007015,2021-01-05,Mobile,Completed,475.68,189.91,285.77
T0040282,C004347,2021-01-05,Mobile,Completed,280.26,143.98,136.28
T0000953,C007117,2021-01-05,Mobile,Returned,201.27,136.13,65.14000000000001
T0033638,C008367,2021-01-05,Mobile,Completed,448.43,224.25,224.18
T0023221,C004466,2021-01-05,Web,Returned,161.47,104.99,56.480000000000004
T0040802,C009747,2021-01-05,Mobile,Completed,250.78,162.59,88.19
T0035448,C000374,2021-01-05,Mobile,Completed,326.62,141.08,185.54
T0038200,C003271,2021-01-05,Mobile,Completed,391.62,263.7,127.92000000000002
T0044960,C007718,2021-01-05,Mobile,Completed,266.92,120.32,146.60000000000002
T0012482,C007879,2021-01-05,Mobile,Completed,497.02,336.82,160.2
T0049993,C001116,2021-01-05,Store,Completed,239.5,157.64,81.86000000000001
T0015736,C002703,2021-01-05,Web,Completed,449.39,210.78,238.60999999999999
T0023907,C006265,2021-01-05,Web,Completed,366.74,199.92,166.82000000000002
T0048910,C007821,2021-01-05,Store,Completed,202.53,120.76,81.77
T0011716,C003694,2021-01-05,Partner,Returned,264.04,143.51,120.53000000000003
T0038930,C003366,2021-01-05,Web,Completed,317.67,102.33,215.34000000000003
T0000417,C006619,2021-01-05,Mobile,Completed,32.36,21.37,10.989999999999998
T0012848,C002867,2021-01-06,Mobile,Completed,481.23,268.13,213.10000000000002
T0005869,C004359,2021-01-06,Web,Completed,53.11,30.73,22.38
T0032040,C003554,2021-01-06,Partner,Completed,339.84,135.73,204.10999999999999
T0004589,C009787,2021-01-06,Web,Completed,284.55,128.8,155.75
T0040157,C002874,2021-01-06,Store,Completed,64.44,37.45,26.989999999999995
T0026555,C002667,2021-01-06,Web,Completed,121.72,62.52,59.199999999999996
T0012290,C008478,2021-01-06,Mobile,Completed,160.67,94.67,65.99999999999999
T0040394,C006922,2021-01-06,Mobile,Cancelled,338.73,223.58,115.15
T0038757,C001628,2021-01-06,Mobile,Completed,111.05,67.3,43.75
T0020400,C004672,2021-01-06,Web,Completed,482.1,327.78,154.32000000000005
T0033143,C008695,2021-01-06,Web,Completed,99.97,51.07,48.9
T0036669,C008929,2021-01-06,Mobile,Completed,260.31,135.78,124.53
T0021632,C004956,2021-01-06,Store,Completed,447.73,185.54,262.19000000000005
T0038072,C001800,2021-01-06,Web,Completed,365.57,115.32,250.25
T0028633,C000646,2021-01-06,Mobile,Completed,307.02,103.98,203.03999999999996
T0008797,C005109,2021-01-06,Web,Completed,15.53,10.42,5.109999999999999
T0041057,C000729,2021-01-06,Mobile,Returned,91.07,63.64,27.429999999999993
